mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name
1286_EDE2-A11,EDE2-A11,32015557,,,64320,Zika Virus,,Zika Virus,60478,zika fever
1287_EDE2-A11,EDE2-A11,32015557,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease
1288_EDE2-A11,EDE2-A11,32015557,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever
1289_EDE2-A11,EDE2-A11,32015557,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
1290_EDE2-A11,EDE2-A11,32015557,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever
1291_Z004,Z004,32015557,,,11082,West Nile Virus,,West Nile Virus,2366,West Nile fever
1292_Z004,Z004,32015557,,,11072,JEV,,Japanese Encephalitis Virus,10844,Japanese encephalitis
1293_Z004,Z004,32015557,,,11089,Yellow Fever Virus,,Yellow Fever Virus,9682,yellow fever
1294_Z004,Z004,32015557,,,64320,Zika Virus,,Zika Virus,60478,zika fever
1295_Z004,Z004,32015557,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease
1296_Z004,Z004,32015557,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever
1297_Z004,Z004,32015557,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
1298_Z004,Z004,32015557,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever
1299_OA984,OA984, 31945137;  24255124,,UniProt: Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1300_SC4271,SC4271,16809304,,UniProt: Q1PSK3,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1301_SC4274,SC4274,16809304,,UniProt: Q1PSK3,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1302_SC4283,SC4283,16809304,,UniProt: Q1PSK3,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1303_SC4289,SC4289,16809304,,UniProt: Q1PSK3,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1304_SC4299,SC4299,16809304,,UniProt: A0A024B7W1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1305_SC4311,SC4311,16809304,,UniProt: A0A024B7W1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1306_SC4325,SC4325,16809304,,UniProt: A0A024B7W1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1307_SC4353,SC4353,16809304,,UniProt: Q32ZE1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1308_SC4361,SC4361,16809304,,UniProt: Q32ZE1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1309_SC4368,SC4368,16809304,,UniProt: Q32ZE1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1310_SC4374,SC4374,16809304,,UniProt: Q32ZE1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1311_SC4375,SC4375,16809304,1uzg,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease
1312_sdAb A1,sdAb A1,35432292,1uzg,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever
1313_sdAb A10,sdAb A10,35432292,1uzg,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
1314_sdAb A6,sdAb A6,35432292,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever
1315_sdAb A9,sdAb A9,35432292,1uzg,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease
1316_Zika Virus-195,Zika Virus-195,30642974,6MID,,64320,Zika Virus,,Zika Virus,60478,zika fever
1317_Zika Virus-195,Zika Virus-195,30642974,6MID; 1uzg,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever
1318_ZK2B10,ZK2B10, 29719255;  30893607,6JEP,,64320,Zika Virus,,Zika Virus,60478,zika fever
1319_ZK2B10,ZK2B10, 29719255;  30893607,6JEP; 1uzg,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
1320_ZKA190,ZKA190, 28938115;  27417494,5Y0A,,64320,Zika Virus,,Zika Virus,60478,zika fever
1321_ZKA190,ZKA190, 28938115;  27417494,5Y0A,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever
1322_ZV-2,ZV-2,27475895,5KVD; 1uzg,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease
1323_ZV-48,ZV-48,27475895,5KVD; 1uzg,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever
1324_ZV-64,ZV-64,27475895,5KVD; 1uzg,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
1325_ZV-67,ZV-67,27475895,5KVG,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever
1326_hMAb 4.8A,hMAb 4.8A,23077306,,,,,,,,
1327_hMAb 4.8A,hMAb 4.8A,23077306,,,,,,,,
1328_hMAb 4.8A,hMAb 4.8A,23077306,,,,,,,,
1329_hMAb 4.8A,hMAb 4.8A,23077306,,,,,,,,
1330_hMAbD11C,hMAbD11C,23077306,,,,,,,,
1331_hMAbD11C,hMAbD11C,23077306,,,,,,,,
1332_hMAbD11C,hMAbD11C,23077306,,,,,,,,
1333_hMAbD11C,hMAbD11C,23077306,,,,,,,,
1334_hMAB 1.6D,hMAB 1.6D,23077306,,,,,,,,
1335_hMAB 1.6D,hMAB 1.6D,23077306,,,,,,,,
1336_hMAB 1.6D,hMAB 1.6D,23077306,,,,,,,,
1337_hMAB 1.6D,hMAB 1.6D,23077306,,,,,,,,
1338_5A7,5A7,1507894,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1339_3C1,3C1,1507894,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1340_7G4,7G4,1507894,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1341_3E4,3.00E+04,1507894,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1342_5D9,5D9,1507894,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1343_5H2,5H2,1507894,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1344_1F2,1F2,1507894,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1345_CR4268,CR4268,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1346_CR4271,CR4271,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1347_CR4274,CR4274,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1348_CR4283,CR4283,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1349_CR4294,CR4294,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1350_CR4289,CR4289,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1351_CR4299,CR4299,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1352_CR4311,CR4311,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1353_CR4325,CR4325,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1354_CR4353,CR4353,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1355_CR4361,CR4361,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1356_CR4368,CR4368,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1357_CR4374,CR4374,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1358_CR4375,CR4375,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1359_7H2,7H2,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1360_6B6C-1,6B6C-1,16809304,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1361_3H5 ,3H5 ,17719070,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1362_M8051122  ,M8051122  ,17719070,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1363_9F16,9F16,17719070,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1364_  2Q1899 ,  2Q1899 ,17719070,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1365_ IP-05-143 , IP-05-143 ,17719070,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1366_GTX77558,GTX77558,17719070,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1367_  5C36,  5C36,17719070,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1368_1F1,1F1,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1369_3H5-1,3H5-1,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1370_6B6-10,6B6-10,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1371_9A3D-8,9A3D-8,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1372_M8051122  ,M8051122  ,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1373_9F16,9F16,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1374_9F11,9F11,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1375_2Q1899,2Q1899,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1376_9D12,9D12,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1377_1A1D-2,1A1D-2,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1378_5A2-7,5A2-7,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1379_13D4-1,13D4-1,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1380_E111,E111,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1381_E114,E114,17881453,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1382_GTX29202 ,GTX29202 ,18562544,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1382_GTX29202 ,GTX29202 ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1382_GTX29202 ,GTX29202 ,18562544,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1382_GTX29202 ,GTX29202 ,18562544,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1383_GTX77557 ,GTX77557 ,18562544,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1383_GTX77557 ,GTX77557 ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1383_GTX77557 ,GTX77557 ,18562544,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1383_GTX77557 ,GTX77557 ,18562544,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1384_MDVP-55A ,MDVP-55A ,18562544,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1384_MDVP-55A ,MDVP-55A ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1384_MDVP-55A ,MDVP-55A ,18562544,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1384_MDVP-55A ,MDVP-55A ,18562544,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1385_MA1-27093 ,MA1-27093 ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1385_MA1-27093 ,MA1-27093 ,18562544,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1385_MA1-27093 ,MA1-27093 ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1385_MA1-27093 ,MA1-27093 ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1386_20-783-74014 ,20-783-74014 ,18562544,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1386_20-783-74014 ,20-783-74014 ,18562544,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1386_20-783-74014 ,20-783-74014 ,18562544,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1386_20-783-74014 ,20-783-74014 ,18562544,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1387_3H5a ,3H5a ,18562544,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1389_M8051122a ,M8051122a ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1390_9F16a ,9F16a ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1391_2Q1899a ,2Q1899a ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1392_IP-05-143a ,IP-05-143a ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1393_GTX77558a ,GTX77558a ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1394_5C36a ,5C36a ,18562544,,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1395_9F12 ,9F12 ,19264660,,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1396_9F12 ,9F12 ,19264660,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1397_9F12 ,9F12 ,19264660,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1398_9F12 ,9F12 ,19264660,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1399_Dengue Virus1-E90 ,Dengue Virus1-E90 ,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1400_Dengue Virus1-E95,Dengue Virus1-E95,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1401_Dengue Virus1-E98,Dengue Virus1-E98,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1402_Dengue Virus1-E99,Dengue Virus1-E99,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1403_Dengue Virus1-E100,Dengue Virus1-E100,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1404_Dengue Virus1-E101,Dengue Virus1-E101,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1405_Dengue Virus1-E102,Dengue Virus1-E102,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1406_Dengue Virus1-E103,Dengue Virus1-E103,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1407_Dengue Virus1-E104,Dengue Virus1-E104,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1408_Dengue Virus1-E105,Dengue Virus1-E105,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1409_Dengue Virus1-E106,Dengue Virus1-E106,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1410_Dengue Virus1-E108,Dengue Virus1-E108,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1411_Dengue Virus1-E111,Dengue Virus1-E111,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1412_Dengue Virus1-E112,Dengue Virus1-E112,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1413_Dengue Virus1-E113,Dengue Virus1-E113,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1414_Dengue Virus1-E90 ,Dengue Virus1-E90 ,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1415_Dengue Virus1-E95,Dengue Virus1-E95,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1416_Dengue Virus1-E98,Dengue Virus1-E98,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1417_Dengue Virus1-E99,Dengue Virus1-E99,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1418_Dengue Virus1-E100,Dengue Virus1-E100,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1419_Dengue Virus1-E101,Dengue Virus1-E101,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1420_Dengue Virus1-E102,Dengue Virus1-E102,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1421_Dengue Virus1-E103,Dengue Virus1-E103,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1422_Dengue Virus1-E104,Dengue Virus1-E104,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1423_Dengue Virus1-E105,Dengue Virus1-E105,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1424_Dengue Virus1-E106,Dengue Virus1-E106,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1425_Dengue Virus1-E108,Dengue Virus1-E108,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1426_Dengue Virus1-E111,Dengue Virus1-E111,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1427_Dengue Virus1-E112,Dengue Virus1-E112,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1428_Dengue Virus1-E113,Dengue Virus1-E113,20369024,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1429_2A10G6 ,2A10G6 ,21264311,2I69; 1SVB,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1430_2A10G6 ,2A10G6 ,21264311,2I69; 1SVB,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1431_2A10G6 ,2A10G6 ,21264311,2I69; 1SVB,,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1432_2A10G6 ,2A10G6 ,21264311,2I69; 1SVB,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1433_2A10G6 ,2A10G6 ,21264311,2I69; 1SVB,,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever
1434_2A10G6 ,2A10G6 ,21264311,2I69; 1SVB,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1435_DEN2-12 ,DEN2-12 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1436_FL0232 ,FL0232 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1437_FL0231 ,FL0231 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1438_4G2 ,4G2 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1439_DEN4-4 ,DEN4-4 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1440_DEN2-9 ,DEN2-9 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1441_DEN3-3 ,DEN3-3 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1442_DEN3-4 ,DEN3-4 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1443_DEN1-2 ,DEN1-2 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1444_FL0251 ,FL0251 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1445_DEN1-3 ,DEN1-3 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1446_DA6-7 ,DA6-7 ,22235356,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1447_m3H5,m3H5,22509258,3C6E ,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1448_m4G2,m4G2,22509258,3C6E ,,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1449_m4G2,m4G2,22509258,3C6E ,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1450_HM14c10 ,HM14c10 ,22723463,2GHW,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1451_E106,E106,24743696,4L5F,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
1452_2A10G6 ,2A10G6 ,27158114,5JHM; 5JHL ,,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1453_C10,C10,27882950,5IZ7; 4UT9,,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1454_Z004 ,Z004 ,28475892,5KVG,,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
1455_MZ4,MZ4,32015557,,,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
