mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name
1213_MHRP-Z1080,MHRP-Z1080,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1214_MHRP-Z1080,MHRP-Z1080,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1215_MHRP-Z1080,MHRP-Z1080,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1216_MHRP-Z1080,MHRP-Z1080,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1217_MHRP-Z1041,MHRP-Z1041,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1218_MHRP-Z1041,MHRP-Z1041,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1219_MHRP-Z1041,MHRP-Z1041,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1220_MHRP-Z1041,MHRP-Z1041,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1221_MHRP-Z1041,MHRP-Z1041,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1222_MHRP-Z1035,MHRP-Z1035,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1223_MHRP-Z1035,MHRP-Z1035,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1224_MHRP-Z1035,MHRP-Z1035,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1225_MHRP-Z1035,MHRP-Z1035,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1226_MHRP-Z1035,MHRP-Z1035,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1227_MHRP-Z1117,MHRP-Z1117,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1228_MHRP-Z1117,MHRP-Z1117,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1229_MHRP-Z1117,MHRP-Z1117,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1230_MHRP-Z1117,MHRP-Z1117,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1231_MHRP-Z1117,MHRP-Z1117,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1232_MHRP-Z1089,MHRP-Z1089,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1233_MHRP-Z1089,MHRP-Z1089,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1234_MHRP-Z1089,MHRP-Z1089,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1235_MHRP-Z1089,MHRP-Z1089,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1236_MHRP-Z1089,MHRP-Z1089,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1237_MHRP-Z1110,MHRP-Z1110,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1238_MHRP-Z1110,MHRP-Z1110,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1239_MHRP-Z1110,MHRP-Z1110,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1240_MHRP-Z1110,MHRP-Z1110,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1241_MHRP-Z1110,MHRP-Z1110,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1242_MHRP-Z1038,MHRP-Z1038,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1243_MHRP-Z1038,MHRP-Z1038,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1244_MHRP-Z1038,MHRP-Z1038,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1245_MHRP-Z1038,MHRP-Z1038,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1246_MHRP-Z1038,MHRP-Z1038,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1247_MZ1,MZ1,32015557,6NIP; 6MTX,,11072,JEV,Flavivirus,West Nile Virus,10844,Japanese encephalitis
1248_MZ1,MZ1,32015557,6NIP; 6MTX,,11089,Yellow Fever Virus,Flavivirus,West Nile Virus,9682,yellow fever
1249_MZ1,MZ1,32015557,6NIP; 6MTX,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1250_MZ1,MZ1,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1251_MZ1,MZ1,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1252_MZ1,MZ1,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1253_MZ1,MZ1,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1254_MZ1,MZ1,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1255_MZ2,MZ2,32015557,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1256_MZ20,MZ20,32015557,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1257_MZ24,MZ24,32015557,6NIS,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1258_MZ24,MZ24,32015557,6NIS,,11072,JEV,Flavivirus,West Nile Virus,10844,Japanese encephalitis
1259_MZ24,MZ24,32015557,6NIS,,11089,Yellow Fever Virus,Flavivirus,West Nile Virus,9682,yellow fever
1260_MZ24,MZ24,32015557,6NIS,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1261_MZ24,MZ24,32015557,6NIS,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1262_MZ24,MZ24,32015557,6NIS,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1263_MZ24,MZ24,32015557,6NIS,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1264_MZ24,MZ24,32015557,6NIS,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1265_MZ4,MZ4,32015557,6NIU; 6MTY,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1266_MZ4,MZ4,32015557,6NIU; 6MTY,,11072,JEV,Flavivirus,West Nile Virus,10844,Japanese encephalitis
1267_MZ4,MZ4,32015557,6NIU; 6MTY,,11089,Yellow Fever Virus,Flavivirus,West Nile Virus,9682,yellow fever
1268_MZ4,MZ4,32015557,6NIU; 6MTY,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1269_MZ4,MZ4,32015557,6NIU; 6MTY,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1270_MZ4,MZ4,32015557,6NIU; 6MTY,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1271_MZ4,MZ4,32015557,6NIU; 6MTY,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1272_MZ4,MZ4,32015557,6NIU; 6MTY,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1273_MZ54,MZ54,32015557,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
1274_MZ56,MZ56,32015557,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
