mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name,organism,target protein,target type,target,target name,structural sub_domains,assay type,assay,quantitative measure,unit
23_753(3)C10,753(3)C10, 27882950;  25501631;  25581790,4UT9; 5H30,A0A024B7W1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever,Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2); Zika virus (isolate Zika Virus/Human/French Polynesia/10087PF/2013) (Zika Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2); UniProt: A0A024B7W1 Zika virus (isolate Zika Virus/Human/French Polynesia/10087PF/2013) (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; Western blot; X-ray crystallography,,
24_753(3)C10,753(3)C10, 27882950;  25501631;  25581790,4UT9,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2); Zika virus (isolate Zika Virus/Human/French Polynesia/10087PF/2013) (Zika Virus),Genome polyprotein; Envelope protein E,protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2); UniProt: A0A024B7W1 Zika virus (isolate Zika Virus/Human/French Polynesia/10087PF/2013) (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; Western blot; X-ray crystallography,,
25_anti_Dengue Virus-1F4,anti_Dengue Virus-1F4,24421336,4C2I,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1); dengue virus type 1,Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1); UniProt: G3F5K5 dengue virus type 1,Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
26_anti_Dengue Virus-2D22,anti_Dengue Virus-2D22,26138979,4UIH,E0WXJ2; P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,dengue virus type 2; Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2); Dengue virus type 2 (isolate Thailand/0168/1979) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: E0WXJ2 dengue virus type 2; UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
27_anti_Dengue Virus-E104,anti_Dengue Virus-E104,25355881,3J8D,P29990,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain Thailand/16681/1984) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: P29990 Dengue virus type 2 (strain Thailand/16681/1984) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
28_anti-Dengue Virus 1C19,anti-Dengue Virus 1C19, 31945137;  24255124,,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1); Dengue virus type 2 (strain Jamaica/1409/1983) (Dengue Virus-2); Dengue virus type 3 (strain Philippines/H87/1956) (Dengue Virus-3); Dengue virus type 4 (strain Dominica/814669/1981) (Dengue Virus-4),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
29_anti-Dengue Virus-10_50-11E-H1L1,anti-Dengue Virus-10_50-11E-H1L1,27707930,11E-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
30_anti-Dengue Virus-10_50-1B-H1L1,anti-Dengue Virus-10_50-1B-H1L1,27707930,1B-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
31_anti-Dengue Virus-10_50-1D-H8L1,anti-Dengue Virus-10_50-1D-H8L1,27707930,1D-H8L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
32_anti-Dengue Virus-10_50-3H-H1L1,anti-Dengue Virus-10_50-3H-H1L1,27707930,3H-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
33_anti-Dengue Virus-10_50-4B-H2L1,anti-Dengue Virus-10_50-4B-H2L1,27707930,4B-H2L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
34_anti-Dengue Virus-10_50-5D-H6L2,anti-Dengue Virus-10_50-5D-H6L2,27707930,5D-H6L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
35_anti-Dengue Virus-10_50-6E-H2L2,anti-Dengue Virus-10_50-6E-H2L2,27707930,6E-H2L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
36_anti-Dengue Virus-10_50-7A-H1L1,anti-Dengue Virus-10_50-7A-H1L1,27707930,7A-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
37_anti-Dengue Virus-10_50-7E-H1L1,anti-Dengue Virus-10_50-7E-H1L1,27707930,7E-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
38_anti-Dengue Virus-10_50-7H-H1L1,anti-Dengue Virus-10_50-7H-H1L1,27707930,7H-H1l1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
39_anti-Dengue Virus-10_50-9E-H2L2,anti-Dengue Virus-10_50-9E-H2L2,27707930,9E-H2L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
40_anti-Dengue Virus-10_63-2C-H3L2,anti-Dengue Virus-10_63-2C-H3L2,27707930,2C-H3L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
41_anti-Dengue Virus-10_63-2F-H1L3,anti-Dengue Virus-10_63-2F-H1L3,27707930,2F-H1L3,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
42_anti-Dengue Virus-10_63-5A-H6L1,anti-Dengue Virus-10_63-5A-H6L1,27707930,5A-H6L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
43_anti-Dengue Virus-10_63-5D-H1L2,anti-Dengue Virus-10_63-5D-H1L2,27707930,5D-H1L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
44_anti-Dengue Virus-10_63-6C-H1L1,anti-Dengue Virus-10_63-6C-H1L1,27707930,6C-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,Protein,UniProt: P17763 Dengue virus type 1 (strain Nauru/West Pac/1974) (Dengue Virus-1),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
45_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,dengue virus type 4,Genome polyprotein; Envelope protein E,protein,,Genome polyprotein; Envelope protein E,,Neutralization,ELISPOT-MNT (IC50),71,_g/ml
46_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,,11060,Dengue Virus2,,Dengue Virus,12205; 12206,dengue disease,,,protein,,Genome polyprotein; Envelope protein E,,Neutralization,ELISPOT-MNT (IC50),58,_g/ml
47_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,protein,,Genome polyprotein; Envelope protein E,,Neutralization,ELISPOT-MNT (IC50),32,_g/ml
48_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,Q7TGC7,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,dengue virus type 4,Genome polyprotein; Envelope protein E,protein,UniProt: Q7TGC7 dengue virus type 4,Genome polyprotein; Envelope protein E,,Neutralization,ELISPOT-MNT (IC50),187,_g/ml
49_anti-Dengue Virus-5C30,anti-Dengue Virus-5C30,23851440,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,dengue virus type 4,Genome polyprotein; Envelope protein E,protein,,Genome polyprotein; Envelope protein E,,Neutralization,ELISPOT-MNT (IC50),67,_g/ml
50_anti-Dengue Virus-5C30,anti-Dengue Virus-5C30,23851440,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,protein,,Genome polyprotein; Envelope protein E,,Neutralization,ELISPOT-MNT (IC50),106,_g/ml
51_anti-Dengue Virus-5C30,anti-Dengue Virus-5C30,23851440,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,protein,,Genome polyprotein; Envelope protein E,,Neutralization,ELISPOT-MNT (IC50),200,_g/ml
