mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name,organism,target protein,target type,target,target name,structural sub_domains,assay type,assay,quantitative measure,unit
821_anti-Dengue Virus-DV87.1,anti-Dengue Virus-DV87.1,23459315,,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,,Binding,ELISA; X-ray crystallography,,
822_anti-Dengue Virus-E18,anti-Dengue Virus-E18,23459315,,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,,Binding,ELISA; X-ray crystallography,,
823_anti-Dengue Virus-E28,anti-Dengue Virus-E28,23459315,,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,,Binding,ELISA; X-ray crystallography,,
824_anti-Dengue Virus-E44,anti-Dengue Virus-E44,23459315,,W5RZ25,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,dengue virus type 2; Dengue virus type 2 (strain Thailand/PUO-218/1980) (Dengue Virus-2),Genome polyprotein,Protein,UniProt: W5RZ25 dengue virus type 2; UniProt: P18356 Dengue virus type 2 (strain Thailand/PUO-218/1980) (Dengue Virus-2),Genome polyprotein,,Binding,ELISA; X-ray crystallography,,
825_anti-Dengue Virus-E60,anti-Dengue Virus-E60,23459315,,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,,Binding,ELISA; X-ray crystallography,,
826_anti-Dengue Virus-E76,anti-Dengue Virus-E76,23459315,,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,,Binding,ELISA; X-ray crystallography,,
827_anti-Dengue Virus-E87,anti-Dengue Virus-E87,23459315,,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,,Binding,ELISA; X-ray crystallography,,
828_anti-Dengue Virus-scFv513,anti-Dengue Virus-scFv513,,,W5RZ25,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,dengue virus type 2; Dengue virus type 2 (strain Thailand/PUO-218/1980) (Dengue Virus-2),Genome polyprotein,Protein,UniProt: W5RZ25 dengue virus type 2,Genome polyprotein,,Binding,ELISA; X-ray crystallography,,
829_anti-Dengue Virus1-14c10,anti-Dengue Virus1-14c10,22723463,4CAU,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; RNA-directed RNA polymerase NS5,,Binding,ELISA; X-ray crystallography,,
830_anti-Dengue Virus1-E106,anti-Dengue Virus1-E106,,,P12823,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (Dengue Virus-2),Genome polyprotein; Envelope protein E,protein,UniProt: P12823 Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
831_anti-Dengue Virus1-E111,anti-Dengue Virus1-E111,23055922,4FFY,P27915,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 3 (strain Philippines/H87/1956) (Dengue Virus-3); Dengue virus type 3 (strain Sri Lanka/1266/2000) (Dengue Virus-3),Genome polyprotein; Envelope protein E,,UniProt: P27915 Dengue virus type 3 (strain Philippines/H87/1956) (Dengue Virus-3); UniProt: Q6YMS4 Dengue virus type 3 (strain Sri Lanka/1266/2000) (Dengue Virus-3),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
832_anti-Dengue Virus2-1A1,anti-Dengue Virus2-1A1,32835694,,P09866,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 4 (strain Dominica/814669/1981) (Dengue Virus-4),Genome polyprotein; Envelope protein E,Protein,UniProt: P09866 Dengue virus type 4 (strain Dominica/814669/1981) (Dengue Virus-4),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
833_anti-Dengue Virus2-1D7,anti-Dengue Virus2-1D7,32835694,,B6DXD2,11082,Dengue Virus1,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Non-structural protein 1 NS1,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q6RVA2 West Nile virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
833_anti-Dengue Virus2-1D7,anti-Dengue Virus2-1D7,32835694,,Q9Q4T1,11082,Dengue Virus2,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Non-structural protein 1 NS1,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q6RVA2 West Nile virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
833_anti-Dengue Virus2-1D7,anti-Dengue Virus2-1D7,32835694,,Q99D35,11082,Dengue Virus3,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Non-structural protein 1 NS1,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q6RVA2 West Nile virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
833_anti-Dengue Virus2-1D7,anti-Dengue Virus2-1D7,32835694,,P03314,11082,Yellow Fever Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Non-structural protein 1 NS1,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q6RVA2 West Nile virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
833_anti-Dengue Virus2-1D7,anti-Dengue Virus2-1D7,32835694,,A0A0X9QZM7,11082,Zika Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Non-structural protein 1 NS1,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q6RVA2 West Nile virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
833_anti-Dengue Virus2-1D7,anti-Dengue Virus2-1D7,32835694,,Q6RVA2 ,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Non-structural protein 1 NS1,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q6RVA2 West Nile virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
834_anti-Dengue Virus2-1D8,anti-Dengue Virus2-1D8,32835694,,Q58HT7,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 4 (strain Philippines/H241/1956) (Dengue Virus-4),Genome polyprotein; Non-structural protein 1,Protein,UniProt: Q58HT7 Dengue virus type 4 (strain Philippines/H241/1956) (Dengue Virus-4),Genome polyprotein; Non-structural protein 1,,Binding,ELISA; X-ray crystallography,,
835_anti-Dengue Virus2-2B3,anti-Dengue Virus2-2B3,32835694,,Q58HT7,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 4 (strain Philippines/H241/1956) (Dengue Virus-4),Genome polyprotein; Non-structural protein 1,Protein,UniProt: Q58HT7 Dengue virus type 4 (strain Philippines/H241/1956) (Dengue Virus-4),Genome polyprotein; Non-structural protein 1,,Binding,ELISA; X-ray crystallography,,
836_anti-Dengue Virus2-2C8,anti-Dengue Virus2-2C8,30323338,6FLC,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 4 (strain Philippines/H241/1956) (Dengue Virus-4),Genome polyprotein; Non-structural protein 1,Protein,UniProt: Q58HT7 Dengue virus type 4 (strain Philippines/H241/1956) (Dengue Virus-4),Genome polyprotein; Non-structural protein 1,,Binding,ELISA; X-ray crystallography,,
837_anti-Dengue Virus2-2D5,anti-Dengue Virus2-2D5,32835694,,A9LID6,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,dengue virus type 3,pol; Genome polyprotein,Protein,UniProt: A9LID6 dengue virus type 3,pol; Genome polyprotein,,Binding,ELISA; X-ray crystallography,,
838_anti-Dengue Virus2-2E3,anti-Dengue Virus2-2E3,32835694,,Q3BCY5; P18356,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,dengue virus type 2; Dengue virus type 2 (strain Thailand/PUO-218/1980) (Dengue Virus-2); Dengue virus type 2 (strain Jamaica/1409/1983) (Dengue Virus-2),Genome polyprotein; Protein prM; Peptide pr,Protein,UniProt: Q3BCY5 dengue virus type 2; UniProt: P18356 Dengue virus type 2 (strain Thailand/PUO-218/1980) (Dengue Virus-2),Genome polyprotein; Protein prM; Peptide pr,,Binding,ELISA; X-ray crystallography,,
839_anti-Dengue Virus2-3B4,anti-Dengue Virus2-3B4,32835694,,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
840_anti-Dengue Virus2-3H5,anti-Dengue Virus2-3H5, 6177259;  30323338,6FLA,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
841_anti-Dengue Virus2-4A1,anti-Dengue Virus2-4A1,32835694,,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
842_anti-Dengue Virus2-4G2,anti-Dengue Virus2-4G2,26265529,,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
843_anti-Dengue Virus3-5J7,anti-Dengue Virus3-5J7,25698059,3J6U,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
844_anti-Dengue Virus4-5H2,anti-Dengue Virus4-5H2, 22139356;  15078949,3UC0,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
845_anti-NS1-22NS1,anti-NS1-22NS1, 27158114;  21264311;  21264311,5JHL,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
846_anti-NS1-3H7A9,anti-NS1-3H7A9,29409531,,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
847_anti-NS1-6D4B10,anti-NS1-6D4B10,29409531,,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
848_anti-NS1-8A6F2,anti-NS1-8A6F2,29409531,,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
849_anti-prM-1H10,anti-prM-1H10, 26512092;  30471923,6IDI,P06935,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P06935 West Nile virus (West Nile Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
850_anti-prM-2H2,anti-prM-2H2,23740974,3J42,Q5WPU5,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,Usutu virus (USUV); West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q5WPU5 Usutu virus (USUV),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
851_anti-rWest Nile Virus-E-10,anti-rWest Nile Virus-E-10,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
852_anti-rWest Nile Virus-E-11,anti-rWest Nile Virus-E-11,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
853_anti-rWest Nile Virus-E-15,anti-rWest Nile Virus-E-15,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E; Protein prM,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E; Protein prM,,Binding,ELISA; X-ray crystallography,,
854_anti-rWest Nile Virus-E-69,anti-rWest Nile Virus-E-69,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
855_anti-rWest Nile Virus-E-71,anti-rWest Nile Virus-E-71,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
856_anti-rWest Nile Virus-E-73,anti-rWest Nile Virus-E-73,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
857_anti-rWest Nile Virus-E-79,anti-rWest Nile Virus-E-79,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
858_anti-rWest Nile Virus-E-84,anti-rWest Nile Virus-E-84,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
859_anti-rWest Nile Virus-E-85,anti-rWest Nile Virus-E-85,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
860_anti-rWest Nile Virus-E-94,anti-rWest Nile Virus-E-94,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
861_anti-rWest Nile Virus-E-95,anti-rWest Nile Virus-E-95,16282460,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
862_anti-USUV-A9,anti-USUV-A9,32829514,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
863_anti-West Nile Virus-9E2,anti-West Nile Virus-9E2,16212535,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
864_anti-West Nile Virus-CR4271,anti-West Nile Virus-CR4271,16809304,,Q9Q6P4,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9Q6P4 West Nile virus (strain NY-99) (West Nile Virus) (West Nile virus (strain NY-1999)),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
865_anti-West Nile Virus-CR4274,anti-West Nile Virus-CR4274,16809304,,Q9WDA6,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain Peru/IQT2913/1996) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9WDA6 Dengue virus type 2 (strain Peru/IQT2913/1996) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,,Flow cytometry,,
866_anti-West Nile Virus-CR4283,anti-West Nile Virus-CR4283,16809304,,Q9WDA6,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain Peru/IQT2913/1996) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: Q9WDA6 Dengue virus type 2 (strain Peru/IQT2913/1996) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
867_anti-West Nile Virus-CR4289,anti-West Nile Virus-CR4289,16809304,,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
868_anti-West Nile Virus-CR4299,anti-West Nile Virus-CR4299,16809304,,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
869_anti-West Nile Virus-CR4311,anti-West Nile Virus-CR4311,16809304,,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
870_anti-West Nile Virus-CR4325,anti-West Nile Virus-CR4325,16809304,,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
871_anti-West Nile Virus-CR4353,anti-West Nile Virus-CR4353,16809304,,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
872_anti-West Nile Virus-CR4354,anti-West Nile Virus-CR4354,20956322,3N9G,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus),Genome polyprotein; Envelope protein E,,Binding,ELISA; X-ray crystallography,,
